Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,C
25,0,0,0,P1
25.5,0,0,0,P1
26,0,0,0,P1
26.5,0,0,0,P1
27,0,0,0,P1
27.5,0,0,0,P1
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,P1
36,0,0,0,P1
36.5,0,0,0,P1
37,0,0,0,P1
37.5,0,0,0,P1
38,0,0,0,P1
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,H-0-10-5:
44,0,0,0,H-0-10-5:
44.5,0,0,0,H-0-10-5:
45,0,0,0,H-0-10-5:
45.5,0,0,0,H-0-10-5:
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,H-1-10-5:
49,0,0,0,H-1-10-5:
49.5,0,0,0,H-1-10-5:
50,0,0,0,H-1-10-5:
50.5,0,0,0,H-1-10-5:
51,0,0,0,H-1-10-5:
51.5,0,0,0,H-1-10-5:
52,0,0,0,H-1-10-5:
52.5,0,0,0,H-1-10-5:
53,0,0,0,H-1-10-5:
53.5,0,0,0,H-1-10-5:
54,0,0,0,H-1-10-5:
54.5,0,0,0,H-1-10-5:
55,0,0,0,H-1-10-5:
55.5,0,0,0,H-1-10-5:
56,0,0,0,H-1-10-5:
56.5,0,0,0,H-3-5-2:B
57,0,0,0,H-3-5-2:B
57.5,0,0,0,H-3-5-2:B
58,0,0,0,H-3-5-2:B
58.5,0,0,0,H-3-5-2:B
59,0,0,0,L
59.5,0,0,0,L
60,0,0,0,L
60.5,0,0,0,L
61,0,0,0,L
61.5,0,0,0,
62,0,0,0,
62.5,0,0,0,
63,0,0,0,
63.5,0,0,0,
64,0,0,0,
64.5,0,0,0,
65,0,0,0,
65.5,0,0,0,
66,0,0,0,
66.5,0,0,0,P2
67,0,0,0,P2
67.5,0,0,0,P2
68,0,0,0,P2
68.5,0,0,0,P2
69,0,0,0,C
69.5,0,0,0,C
70,0,0,0,C
70.5,0,0,0,C
71,0,0,0,C
71.5,0,0,0,
72,0,0,0,
72.5,0,0,0,
73,0,0,0,
73.5,0,0,0,
74,0,0,0,H-1-10-5:
74.5,0,0,0,H-1-10-5:
75,0,0,0,H-1-10-5:
75.5,0,0,0,H-1-10-5:
76,0,0,0,H-1-10-5:
76.5,0,0,0,
77,0,0,0,
77.5,0,0,0,
78,0,0,0,
78.5,0,0,0,
79,0,0,0,H-3-10-5:
79.5,0,0,0,H-3-10-5:
80,0,0,0,H-3-10-5:
80.5,0,0,0,H-3-10-5:
81,0,0,0,H-3-10-5:
81.5,0,0,0,H-0-5-2:B
82,0,0,0,H-0-5-2:B
82.5,0,0,0,H-0-5-2:B
83,0,0,0,H-0-5-2:B
83.5,0,0,0,H-0-5-2:B
84,0,0,0,L
84.5,0,0,0,L
85,0,0,0,L
85.5,0,0,0,L
86,0,0,0,L
86.5,0,0,0,
87,0,0,0,
87.5,0,0,0,
88,0,0,0,
88.5,0,0,0,
89,0,0,0,
89.5,0,0,0,
90,0,0,0,
90.5,0,0,0,
91,0,0,0,
91.5,0,0,0,H-3-20-2.341628:C
92,0,0,0,H-3-20-2.341628:C
92.5,0,0,0,H-3-20-2.341628:C
93,0,0,0,D
93.5,0,0,0,D
94,0,0,0,H-1-12-2.33182:
94.5,0,0,0,H-1-12-2.33182:
95,0,0,0,H-1-12-2.33182:
95.5,0,0,0,H-0-14-3.430695:
96,0,0,0,H-0-14-3.430695:
96.5,0,0,0,H-3-20-2.135645:
97,0,0,0,H-3-20-2.135645:
97.5,0,0,0,H-3-20-2.135645:
98,0,0,0,H-3-20-2.135645:
98.5,0,0,0,H-1-14-3.50904:C
99,0,0,0,H-1-14-3.50904:C
99.5,0,0,0,U
100,0,0,0,U
100.5,0,0,0,U
101,0,0,0,U
101.5,0,0,0,U
102,0,0,0,N
102.5,0,0,0,N
103,0,0,0,N
103.5,0,0,0,
104,0,0,0,
104.5,0,0,0,
105,0,0,0,
105.5,0,0,0,
106,0,0,0,
106.5,0,0,0,
107,0,0,0,
107.5,0,0,0,
108,0,0,0,
108.5,0,0,0,
109,0,0,0,
109.5,0,0,0,H-3-17.15248-4.481932:
110,0,0,0,H-3-17.15248-4.481932:
110.5,0,0,0,H-3-17.15248-4.481932:
111,0,0,0,
111.5,0,0,0,
112,0,0,0,H-1-2.402126-5.759109:
112.5,0,0,0,H-1-2.402126-5.759109:
113,0,0,0,H-1-2.402126-5.759109:
113.5,0,0,0,
114,0,0,0,
114.5,0,0,0,
115,0,0,0,H-2-3.776995-3.080518:C
115.5,0,0,0,H-0-13.96526-3.158816:
116,0,0,0,X
116.5,0,0,0,X
117,0,0,0,X
117.5,0,0,0,H-0-8-3.731462:B
118,0,0,0,H-0-8-3.731462:B
118.5,0,0,0,H-0-8-2.730926:
119,0,0,0,H-0-8-2.730926:
119.5,0,0,0,H-0-8-2.730926:
120,0,0,0,H-3-20-4.560069:C
120.5,0,0,0,H-3-20-4.560069:C
121,0,0,0,H-2-12-2.876715:
121.5,0,0,0,H-2-12-2.876715:
122,0,0,0,H-2-12-2.876715:
122.5,0,0,0,H-1-14-4.351511:
123,0,0,0,H-1-14-4.351511:
123.5,0,0,0,H-3-20-4.465086:C
124,0,0,0,H-3-20-4.465086:C
124.5,0,0,0,H-3-20-4.465086:C
125,0,0,0,C
125.5,0,0,0,C
126,0,0,0,H-3-20-3.537914:
126.5,0,0,0,H-3-20-3.537914:
127,0,0,0,H-3-20-3.537914:
127.5,0,0,0,H-2-4-3.155842:P3
128,0,0,0,H-2-4-3.155842:P3
128.5,0,0,0,
129,0,0,0,
129.5,0,0,0,
130,0,0,0,N
130.5,0,0,0,N
131,0,0,0,H-1-8.564221-5.515062:C
131.5,0,0,0,H-1-8.564221-5.515062:C
132,0,0,0,H-1-8.564221-5.515062:C
132.5,0,0,0,H-2-2.97558-3.476374:P3
133,0,0,0,H-2-2.97558-3.476374:P3
133.5,0,0,0,H-2-11.35087-2.999414:
134,0,0,0,H-2-11.35087-2.999414:
134.5,0,0,0,H-2-11.35087-2.999414:
135,0,0,0,H-2-4.982878-2.9239:C
135.5,0,0,0,H-2-4.982878-2.9239:C
136,0,0,0,H-0-7.313138-2.057738:
136.5,0,0,0,H-0-7.313138-2.057738:
