Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,P1
11.5,0,0,0,P1
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,H-0-10-5:
15,0,0,0,H-0-10-5:
15.5,0,0,0,H-0-10-5:
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-1-10-5:
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-1-10-5:
18.5,0,0,0,H-3-5-2:B
19,0,0,0,H-3-5-2:B
19.5,0,0,0,L
20,0,0,0,L
20.5,0,0,0,L
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,H-2-5-2.903337:
24,0,0,0,H-2-5-2.903337:
24.5,0,0,0,H-3-20-2.778479:C
25,0,0,0,H-3-20-2.778479:C
25.5,0,0,0,H-3-20-2.778479:C
26,0,0,0,H-1-10-5.499547:C
26.5,0,0,0,H-1-10-5.499547:C
27,0,0,0,H-2-8-2.760979:P1
27.5,0,0,0,H-2-8-2.760979:P1
28,0,0,0,H-2-8-2.760979:P1
28.5,0,0,0,H-3-20-5.32821:
29,0,0,0,H-3-20-5.32821:
29.5,0,0,0,H-2-4-2.992074:P2C
30,0,0,0,H-2-4-2.992074:P2C
30.5,0,0,0,H-2-4-2.992074:P2C
31,0,0,0,H-2-12-2.922147:
31.5,0,0,0,H-2-12-2.922147:
32,0,0,0,H-2-12-2.922147:
32.5,0,0,0,H-0-9-5.553129:
33,0,0,0,H-0-9-5.553129:
33.5,0,0,0,N
34,0,0,0,N
34.5,0,0,0,N
35,0,0,0,H-2-16.12353-2.584018:
35.5,0,0,0,H-2-16.12353-2.584018:
36,0,0,0,H-2-2.732758-3.380617:
36.5,0,0,0,H-2-2.732758-3.380617:
37,0,0,0,H-2-2.732758-3.380617:
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,H-3-12.16085-5.45695:
43,0,0,0,H-3-12.16085-5.45695:
43.5,0,0,0,H-0-9.942962-3.87392:
44,0,0,0,H-0-9.942962-3.87392:
44.5,0,0,0,H-0-9.942962-3.87392:
45,0,0,0,H-0-15.96407-5.187825:
45.5,0,0,0,H-0-15.96407-5.187825:
46,0,0,0,H-3-11.13283-2.533111:
46.5,0,0,0,H-3-11.13283-2.533111:
47,0,0,0,H-3-11.13283-2.533111:
47.5,0,0,0,X
48,0,0,0,X
48.5,0,0,0,H-1-7-5.855277:B
49,0,0,0,H-1-7-5.855277:B
49.5,0,0,0,H-1-7-5.855277:B
50,0,0,0,H-0-17-5.989915:P2
50.5,0,0,0,H-0-17-5.989915:P2
51,0,0,0,H-2-15-3.448354:C
51.5,0,0,0,H-2-15-3.448354:C
52,0,0,0,H-2-15-3.448354:C
52.5,0,0,0,H-0-9-4.397179:
53,0,0,0,H-0-9-4.397179:
53.5,0,0,0,H-2-7-2.518859:
54,0,0,0,H-2-7-2.518859:
54.5,0,0,0,H-2-7-2.518859:
55,0,0,0,H-0-7-2.353826:C
55.5,0,0,0,H-0-7-2.353826:C
56,0,0,0,
56.5,0,0,0,
57,0,0,0,
57.5,0,0,0,H-3-20-4.653486:
58,0,0,0,H-3-20-4.653486:
58.5,0,0,0,H-2-9-3.086198:C
59,0,0,0,H-2-9-3.086198:C
59.5,0,0,0,H-2-9-3.086198:C
60,0,0,0,H-2-16-2.988278:C
60.5,0,0,0,H-2-16-2.988278:C
61,0,0,0,N
61.5,0,0,0,N
62,0,0,0,N
62.5,0,0,0,H-3-16.67524-4.689783:
63,0,0,0,H-3-16.67524-4.689783:
63.5,0,0,0,H-3-16.67524-4.689783:
64,0,0,0,H-0-10.5324-2.310805:P2
64.5,0,0,0,H-0-10.5324-2.310805:P2
65,0,0,0,H-1-7.243554-4.929444:
65.5,0,0,0,H-1-7.243554-4.929444:
66,0,0,0,H-1-7.243554-4.929444:
66.5,0,0,0,H-3-8.93324-3.639717:
67,0,0,0,H-3-8.93324-3.639717:
67.5,0,0,0,H-2-8.845918-2.620559:C
68,0,0,0,H-2-8.845918-2.620559:C
68.5,0,0,0,H-2-8.845918-2.620559:C
69,0,0,0,H-0-12.76673-3.12588:
69.5,0,0,0,H-0-12.76673-3.12588:
70,0,0,0,H-3-4.658081-4.8056:
70.5,0,0,0,H-3-4.658081-4.8056:
71,0,0,0,H-3-4.658081-4.8056:
71.5,0,0,0,H-2-8.345359-3.063815:
72,0,0,0,H-2-8.345359-3.063815:
72.5,0,0,0,H-2-16.65594-2.969265:
73,0,0,0,H-2-16.65594-2.969265:
73.5,0,0,0,H-2-16.65594-2.969265:
74,0,0,0,H-3-7.249419-5.071455:P2
74.5,0,0,0,H-3-7.249419-5.071455:P2
75,0,0,0,X
75.5,0,0,0,X
76,0,0,0,X
76.5,0,0,0,H-3-20-5.290891:
77,0,0,0,H-3-20-5.290891:
77.5,0,0,0,H-2-10-3.020317:
78,0,0,0,H-2-10-3.020317:
78.5,0,0,0,H-2-10-3.020317:
79,0,0,0,H-3-20-2.133281:B
79.5,0,0,0,H-3-20-2.133281:B
80,0,0,0,H-1-6-2.169874:P1
80.5,0,0,0,H-1-6-2.169874:P1
81,0,0,0,H-1-6-2.169874:P1
81.5,0,0,0,H-2-12-3.068547:
82,0,0,0,H-2-12-3.068547:
82.5,0,0,0,H-3-20-3.477498:
83,0,0,0,H-3-20-3.477498:
83.5,0,0,0,H-3-20-3.477498:
84,0,0,0,H-2-11-3.090548:C
84.5,0,0,0,H-2-11-3.090548:C
85,0,0,0,H-1-9-5.035598:
85.5,0,0,0,H-1-9-5.035598:
86,0,0,0,H-1-9-5.035598:
86.5,0,0,0,H-3-20-5.648165:P2
87,0,0,0,H-3-20-5.648165:P2
87.5,0,0,0,C
88,0,0,0,C
88.5,0,0,0,C
89,0,0,0,L
89.5,0,0,0,L
90,0,0,0,
90.5,0,0,0,
91,0,0,0,
91.5,0,0,0,
92,0,0,0,
92.5,0,0,0,H-0-13-2.205925:
93,0,0,0,H-0-13-2.205925:
93.5,0,0,0,H-0-13-2.205925:
94,0,0,0,H-3-20-5.133796:
94.5,0,0,0,H-3-20-5.133796:
95,0,0,0,H-2-9-3.452313:C
95.5,0,0,0,H-2-9-3.452313:C
96,0,0,0,H-2-9-3.452313:C
96.5,0,0,0,H-1-11-4.756915:
97,0,0,0,H-1-11-4.756915:
97.5,0,0,0,H-1-11-4.756915:
98,0,0,0,H-3-20-5.387307:
98.5,0,0,0,H-3-20-5.387307:
99,0,0,0,
99.5,0,0,0,
100,0,0,0,
100.5,0,0,0,H-2-17-2.702788:
101,0,0,0,H-2-17-2.702788:
101.5,0,0,0,H-1-10-5.185213:B
102,0,0,0,H-1-10-5.185213:B
102.5,0,0,0,H-1-10-5.185213:B
103,0,0,0,N
103.5,0,0,0,N
104,0,0,0,H-1-7.884103-5.650409:C
104.5,0,0,0,H-1-7.884103-5.650409:C
105,0,0,0,H-1-7.884103-5.650409:C
105.5,0,0,0,H-0-4.182829-3.527616:
106,0,0,0,H-0-4.182829-3.527616:
106.5,0,0,0,H-2-4.458847-2.881857:
107,0,0,0,H-2-4.458847-2.881857:
